Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3962941654",,time_created,"885846881",,manufacturer,"1",,garmin_product,"2623",,type,"4",,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"280",,,,,,,,,,,,,,,,,
Definition,2,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,2,unknown,unknown,"885846881",,unknown,"14965",,unknown,"800",,unknown,"0",,unknown,"162",,unknown,"33",,unknown,"184",,unknown,"1",,unknown,"70",,unknown,"179",,unknown,"1",,,,,
Definition,3,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Data,3,event,timestamp,"885846881",s,timer_trigger,"0",,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,
Definition,4,device_info,timestamp,1,,serial_number,1,,cum_operating_time,1,,unknown,1,,unknown,1,,unknown,1,,unknown,32,,manufacturer,1,,product,1,,software_version,1,,battery_voltage,1,,device_index,1,,device_type,1,,hardware_version,1,,unknown,1,,battery_status,1,,
Data,4,device_info,timestamp,"885846881",s,serial_number,"3962941654",,manufacturer,"1",,garmin_product,"2623",,software_version,"2.8",,device_index,"0",,device_type,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"885846881",s,device_index,"1",,device_type,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"885846881",s,manufacturer,"1",,garmin_product,"2779",,software_version,"4.2",,device_index,"2",,device_type,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"885846881",s,serial_number,"3962941654",,manufacturer,"1",,garmin_product,"2623",,software_version,"2.8",,device_index,"3",,device_type,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"885846881",s,software_version,"3.23",,device_index,"4",,device_type,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"885846881",,unknown,"2",,unknown,"2",,unknown,"3",,unknown,"4",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,sport,unknown,1,,sport,1,,sub_sport,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,sport,unknown,"1",,sport,"1",,sub_sport,"0",,unknown,"1",,unknown,"0",,unknown,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,speed,1,,unknown,1,,heart_rate,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,"885846881",s,position_lat,"-452882324",semicircles,position_long,"1723008624",semicircles,distance,"0.0",m,speed,"1.148",m/s,unknown,"100",,heart_rate,"85",bpm,cadence,"48",rpm,enhanced_speed,"1.148",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,"885846881",s,position_lat,"-452882324",semicircles,position_long,"1723008624",semicircles,distance,"0.0",m,speed,"1.148",m/s,unknown,"100",,heart_rate,"85",bpm,cadence,"48",rpm,enhanced_speed,"1.148",m/s,,,,,,,,,,,,,,,,,,,,,,
Definition,8,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,unknown,unknown,"885846881",,unknown,"4148",,unknown,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,9,unknown,unknown,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"52|240|3|8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"6|40|40|16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"188|2|0|24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"7|117|2|0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"36|240|7|8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
